Time,GeneralizedAngle
0.0,155.66420520290663
0.01,155.65389899734114
0.02,155.64141522329592
0.03,155.62619133914689
0.04,155.60839726619474
0.05,155.5883733627147
0.06,155.56665075327905
0.07,155.5430659598266
0.08,155.51700814857895
0.09,155.48811530773523
0.1,155.4558824841932
0.11,155.4200177183752
0.12,155.37989478303408
0.13,155.3354708638213
0.14,155.28589617714428
0.15,155.23112564613788
0.16,155.17048337167483
0.17,155.104810777449
0.18,155.03391627743778
0.19,154.95782323498972
0.2,154.87644299171183
0.21,154.78935002606758
0.22,154.69620530300222
0.23,154.596247632253
0.24,154.48915206246957
0.25,154.37438171197832
0.26,154.25238814535183
0.27,154.12359303659943
0.28,153.98941953934914
0.29,153.84887270254822
0.3,153.7029411352152
0.31,153.55097035524338
0.32,153.3939539996696
0.33,153.23193979730982
0.34,153.06700340955953
0.35000000000000003,152.89912183432912
0.36,152.72823173280383
0.37,152.55267648810442
0.38,152.37326040863707
0.39,152.19039622448173
0.4,152.00409102514766
0.41000000000000003,151.81460708076142
0.42,151.62226314665938
0.43,151.4277049972898
0.44,151.23023118170667
0.45,151.02950493899814
0.46,150.82433371897545
0.47000000000000003,150.6147032935216
0.48,150.39928362055798
0.49,150.17849897436847
0.5,149.95258999293344
0.51,149.72233741873322
0.52,149.48752877670412
0.53,149.24827532830693
0.54,149.0053475375755
0.55,148.75963165882956
0.56,148.5118508984822
0.5700000000000001,148.26047240782594
0.58,148.00666090735464
0.59,147.74980952713076
0.6,147.4915785627537
0.61,147.2327391294202
0.62,146.97410544907848
0.63,146.7141669945838
0.64,146.4518731737156
0.65,146.18746067168624
0.66,145.92325852829518
0.67,145.65859686298822
0.68,145.39288914326926
0.6900000000000001,145.12543288850785
0.7000000000000001,144.8567894570704
0.71,144.58591522785193
0.72,144.31278719831602
0.73,144.03629491349398
0.74,143.75668759500576
0.75,143.47333973268977
0.76,143.18752833353446
0.77,142.90091096061363
0.78,142.61535535210615
0.79,142.33018777499532
0.8,142.04498071996647
0.81,141.75898696885417
0.8200000000000001,141.47357911565416
0.8300000000000001,141.18893091897397
0.84,140.90450407308143
0.85,140.619603054252
0.86,140.3360249597121
0.87,140.05471561904292
0.88,139.7753947608487
0.89,139.49690401334308
0.9,139.21869893494434
0.91,138.94181993290147
0.92,138.66611199244687
0.93,138.39234557051782
0.9400000000000001,138.11904121051225
0.9500000000000001,137.84558000355295
0.96,137.57262074972286
0.97,137.30211093582764
0.98,137.03528774299366
0.99,136.77102632317872
1.0,136.51221423887694
1.01,136.2537032431802
1.02,135.9965752593574
1.03,135.74014489659552
1.04,135.48603536990404
1.05,135.23359151808612
1.06,134.9843840910347
1.07,134.73693662022356
1.08,134.49211765892437
1.09,134.24835318071098
1.1,134.00625356085894
1.11,133.76443028080547
1.12,133.5229792676591
1.1300000000000001,133.2823641430252
1.1400000000000001,133.0826953694542
1.1500000000000001,132.8815193365133
1.16,132.64052058132484
1.17,132.39823086122453
1.18,132.1555923227626
1.19,131.91196284196846
1.2,131.6684917834158
1.21,131.42544931158565
1.22,131.18306714636978
1.23,130.94098049894887
1.24,130.70401244655378
1.25,130.47017435614285
1.26,130.23916105529887
1.27,130.01003452101605
1.28,129.78152414883584
1.29,129.55378673637742
1.3,129.32624996533139
1.31,129.0971673247135
1.32,128.87057634658638
1.33,128.64400588209884
1.34,128.41772615340588
1.35,128.1914292670822
1.36,127.96351216909329
1.37,127.73311900896509
1.3800000000000001,127.54273888581622
1.3900000000000001,127.35105219791308
1.4000000000000001,127.11432096979341
1.41,126.87577487375337
1.42,126.63509838605887
1.43,126.38983264929152
1.44,126.1766952210569
1.45,125.9633550058823
1.46,125.71253612234405
1.47,125.49830155623853
1.48,125.28278426118565
1.49,125.02777980902563
1.5,124.76747494412571
1.51,124.50373408319494
1.52,124.2375514676292
1.53,123.97245151631735
1.54,123.70279018440704
1.55,123.43142819046109
1.56,123.1569917180969
1.57,122.88054201507691
1.58,122.60195681817713
1.59,122.32313024413793
1.6,122.04472302802905
1.61,121.76382169636236
1.62,121.51983584626858
1.6300000000000001,121.2749086682038
1.6400000000000001,120.98850727067685
1.6500000000000001,120.7023445963499
1.6600000000000001,120.41599361951735
1.67,120.130631309316
1.68,119.84604387463249
1.69,119.56139283224907
1.7,119.27643020640267
1.71,118.9922167590147
1.72,118.71061716029322
1.73,118.43218627646188
1.74,118.15556139570408
1.75,117.88090604119618
1.76,117.60703065444046
1.77,117.33406491162002
1.78,117.0580969299835
1.79,116.78349599196217
1.8,116.51042359231712
1.81,116.23881001359746
1.82,115.96680098783456
1.83,115.69418669635631
1.84,115.42115943175436
1.85,115.14914796373482
1.86,114.87717953321379
1.87,114.60478659752505
1.8800000000000001,114.33606542534278
1.8900000000000001,114.06585698596818
1.9000000000000001,113.80166488131205
1.9100000000000001,113.534359331843
1.92,113.26271308006255
1.93,112.98677411863422
1.94,112.7052564063125
1.95,112.42014373893615
1.96,112.13091184742052
1.97,111.83943184994548
1.98,111.54591041560127
1.99,111.2534456394718
2.0,110.95862633275226
2.0100000000000002,110.66211843920071
2.02,110.43908521001269
2.0300000000000002,110.21563309661683
2.04,109.91889875269835
2.05,109.6944613280891
2.06,109.46668988911927
2.07,109.16396229073723
2.08,108.86169147207211
2.09,108.56402293484759
2.1,108.26646219388117
2.11,107.96973178917897
2.12,107.6752395533121
2.13,107.41651530609549
2.14,107.16366967367385
2.15,106.8829883155072
2.16,106.60845452896649
2.17,106.34244531245459
2.18,106.0858372176808
2.19,105.86500459833888
2.2,105.65099170375936
2.21,105.39939588465798
2.22,105.15059519678225
2.23,104.90613716587903
2.24,104.66679850004891
2.25,104.46707371898675
2.2600000000000002,104.27301692936442
2.27,104.05156774197475
2.2800000000000002,103.83694318763047
2.29,103.63028180651533
2.3000000000000003,103.42798214956237
2.31,103.22722023894823
2.32,103.03470006882044
2.33,102.84729863669111
2.34,102.665230819809
2.35,102.48882039153382
2.36,102.31476633819904
2.37,102.14556259272932
2.38,101.98124668890894
2.39,101.82130962672335
2.4,101.68281362531837
2.41,101.54407552104833
2.42,101.3906065990489
2.43,101.27230992108764
2.44,101.15488865942484
2.45,101.00968427208635
2.46,100.89364719402306
2.47,100.78023065544505
2.48,100.64515776228097
2.49,100.51271385090236
2.5,100.38019489030235
2.5100000000000002,100.24878251167762
2.52,100.11824749879095
2.5300000000000002,99.98913283554721
2.54,99.86175068504484
2.5500000000000003,99.73675008315537
2.56,99.61270802575571
2.57,99.48981151541413
2.58,99.36651848731213
2.59,99.23952874860679
2.6,99.11091653223559
2.61,98.98072561023689
2.62,98.84553678406571
2.63,98.72763512906567
2.64,98.60775626045381
2.65,98.46587107881783
2.66,98.34231946444326
2.67,98.21441451464939
2.68,98.06835433857408
2.69,97.91902363005715
2.7,97.76668973097894
2.71,97.61016582247004
2.72,97.44881871669685
2.73,97.28156133977159
2.74,97.11281914582588
2.75,96.93840342293049
2.7600000000000002,96.75966594916112
2.77,96.57742716053025
2.7800000000000002,96.39323338734823
2.79,96.20699095243906
2.8000000000000003,96.05427949409501
2.81,95.90199409782157
2.82,95.74952233322398
2.83,95.59479859281781
2.84,95.40349727676563
2.85,95.21300958697618
2.86,95.01713287336635
2.87,94.81570360392764
2.88,94.61692721709527
2.89,94.45364114772808
2.9,94.29099252345083
2.91,94.08212640499711
2.92,93.87118032487683
2.93,93.66359961234419
2.94,93.45368564505311
2.95,93.24093573069649
2.96,93.02546487684349
2.97,92.8537352761103
2.98,92.67787786496672
2.99,92.48189509174422
3.0,92.28574790942302
3.0100000000000002,92.05612650619712
3.02,91.85658463824284
3.0300000000000002,91.65814627439069
3.04,91.47648972881643
3.0500000000000003,91.33079563230928
3.06,91.13898869129684
3.0700000000000003,90.90649175582867
3.08,90.67313389566465
3.09,90.48740413889061
3.1,90.30031890514557
3.11,90.06633526654149
3.12,89.83538041898426
3.13,89.60870302844889
3.14,89.38552709100321
3.15,89.16156833665514
3.16,88.93498082618409
3.17,88.70981205500273
3.18,88.53304060468031
3.19,88.35603140600996
3.2,88.13614380770211
3.21,87.91212704607516
3.22,87.68487829203382
3.23,87.45870238570569
3.24,87.23165746663767
3.25,86.99930615026155
3.2600000000000002,86.76395456639877
3.27,86.5279156596747
3.2800000000000002,86.29338061321663
3.29,86.06080676463387
3.3000000000000003,85.82969058293787
3.31,85.59865435981798
3.3200000000000003,85.43842407271241
3.33,85.27971700875166
3.34,85.05033758430552
3.35,84.82151433448499
3.36,84.59365473413699
3.37,84.36912359221493
3.38,84.14994722664206
3.39,83.93740756501307
3.4,83.76469212378205
3.41,83.59405136697315
3.42,83.39120130078165
3.43,83.1895824650389
3.44,82.98854552630509
3.45,82.78936955706523
3.46,82.59315861431367
3.47,82.42820274737504
3.48,82.26819140806914
3.49,82.07095778383805
3.5,81.87354073870709
3.5100000000000002,81.67392919099336
3.52,81.50290148261786
3.5300000000000002,81.32914068311759
3.54,81.18768841435704
3.5500000000000003,81.04636789773242
3.56,80.83454763741338
3.5700000000000003,80.61838671570274
3.58,80.40134072430973
3.59,80.18318200980838
3.6,79.96316354267861
3.61,79.74197545033172
3.62,79.52506777666979
3.63,79.35285415634495
3.64,79.21588582486088
3.65,79.03532153347828
3.66,78.82579184452618
3.67,78.62044749078814
3.68,78.42058236799583
3.69,78.22446581213279
3.7,78.0312527987977
3.71,77.83912308364029
3.72,77.65005373291372
3.73,77.46461544546518
3.74,77.28519371701775
3.75,77.11237725665843
3.7600000000000002,76.94245031170158
3.77,76.80842933520434
3.7800000000000002,76.67297240540803
3.79,76.5091829121922
3.8000000000000003,76.33974091249415
3.81,76.16968618237178
3.8200000000000003,75.99788954473745
3.83,75.8249702319988
3.84,75.65127636904138
3.85,75.47778430709074
3.86,75.30499975518994
3.87,75.13635392170058
3.88,74.99265244149186
3.89,74.88551569387731
3.9,74.75454755859283
3.91,74.5934037860737
3.92,74.46038580422174
3.93,74.326114517708
3.94,74.16517335776139
3.95,74.00431997510347
3.96,73.8454396611118
3.97,73.68929957447928
3.98,73.53584476113498
3.99,73.38567683326202
4.0,73.24033012167332
4.01,73.10199021952052
4.0200000000000005,72.97121415009646
4.03,72.87188400323981
4.04,72.77477407497973
4.05,72.65210490170375
4.0600000000000005,72.53012558557488
4.07,72.41067556747007
4.08,72.29273792404702
4.09,72.17335529661933
4.1,72.05452860338842
4.11,71.93591714554607
4.12,71.81715188831625
4.13,71.69837482529385
4.14,71.57968522697688
4.15,71.46005768789429
4.16,71.33949027978394
4.17,71.21830802584076
4.18,71.09671819945511
4.19,70.97125609340627
4.2,70.84394976222053
4.21,70.71569202264676
4.22,70.58694972454815
4.23,70.45822327212797
4.24,70.32999707221485
4.25,70.20775696369525
4.26,70.06568199786766
4.2700000000000005,69.92843617329385
4.28,69.80155475865307
4.29,69.68487160751323
4.3,69.57661735216688
4.3100000000000005,69.47589139621236
4.32,69.3822813556403
4.33,69.29597415439652
4.34,69.21660348760886
4.3500000000000005,69.14282454786354
4.36,69.07310084456003
4.37,69.00594238897031
